English,Transliteration,Arabic (Iraqi),Category
Wrong,gha-lat,غلط,Common
Sure / certain,mit-ak-kid,متأكد,Common
Not sure,muu mit-ak-kid,مو متأكد,Common
Truth,sidg,صدق,Common
Lie,chi-dhib,كذب,Common
Repeat it,i-'id-ha,اعدها,Common
Help me,saa-'id-ni,ساعدني,Common
Explain to me,ish-rah-li,اشرحلي,Common
"Slower, please",ib-ta shway-ya,ابطأ شوية,Common
Faster,as-ra',اسرع,Common
Enough,kaa-fi,كافي,Common
Because,li-an,لان,Connectors
But,laa-kin,لكن,Connectors
And also,w-ay-dhan,وايضا,Connectors
For example,ma-tha-lan,مثلا,Connectors
Of course,tab-'an,طبعا,Connectors
This is good,haa-dha zayn,هذا زين,Everyday
This is not good,haa-dha muu zayn,هذا مو زين,Everyday
Never ever,a-bad a-bad,ابد ابد,Everyday
Always,daa-i-man,دائما,Everyday
Sometimes,ah-yaa-nan,احيانا,Everyday
Every day,kull yoom,كل يوم,Everyday
Together,ma' ba-'adh,مع بعض,Everyday
Everyone,kull waa-hid,كل واحد,Everyday
After a minute,ba-'ad da-qee-qa,بعد دقيقة,Everyday
Quickly,b-sur-'a,بسرعة,Everyday
Take it easy,'a-la mah-lak,على مهلك,Everyday
Hold on,mah-lan mah-lan,مهلا مهلا,Everyday
Come here,ta-'aal hnaa,تعال هنا,Everyday
Go away from here,rooh min hnaa,روح من هنا,Everyday
Don't go,laa trooh,لا تروح,Everyday
See you later (alt),a-shoo-fak ba'-deen,اشوفك بعدين,Everyday
God bless,al-la bil-kheir,الله بالخير,Everyday
Your eyes are pretty,'yoo-nak hil-wa,عيونك حلوة,Everyday
Have a good day,khoosh yoom,خوش يوم,Everyday
Very good,kul-lash zayn,كلش زين,Everyday
Something else,shi thaa-ni,شي ثاني,Everyday
I don't want anything,maa a-reed shi,ما اريد شي,Everyday
I want everything,a-reed kull shi,اريد كل شي,Everyday
May God lengthen your life,al-la y-taw-wil 'um-rak,الله يطول عمرك,Everyday
