English,Transliteration,Arabic (Iraqi),Category
You (plural),in-tu,انتو,Pronouns
They,hum-ma,هم,Pronouns
This (fem),haay,هاي,Pronouns
That,haa-dheech,هاذيك,Pronouns
These,ha-dho-la,هذولا,Pronouns
With,ma',مع,Connectors
Without,bi-doon,بدون,Connectors
All / every,kul,كل,Connectors
Some,ba-'adh,بعض,Connectors
Name,i-sim,اسم,Other
Address,'in-waan,عنوان,Other
Mail / post,ba-reed,بريد,Other
Message,ri-saa-la,رسالة,Other
Book,ki-taab,كتاب,Other
Notebook,daf-tar,دفتر,Other
Pen,ga-lam,قلم,Other
Picture,soo-ra,صورة,Other
Movie,fi-leem,فيلم,Other
Song,ugh-niy-ya,اغنية,Other
Game / toy,li'-ba,لعبة,Other
Ball,too-ba,طوبة,Other
Money,maal,مال,Other
Cash,fi-loos,فلوس,Other
Bank,bank,بنك,Other
Bill / account,h-saab,حساب,Other
Work / deed,'a-mal,عمل,Other
Travel,sa-far,سفر,Other
Life,ha-yaat,حياة,Other
Letter (alphabet),har-if,حرف,Other
